priors_count,sex,race,age_cat,c_charge_degree,two_year_recid
13,Male,Caucasian,25 - 45,F,1
3,Male,African-American,25 - 45,F,1
8,Male,African-American,Greater than 45,F,0
3,Male,Caucasian,Greater than 45,M,0
19,Male,African-American,25 - 45,F,1
2,Female,Caucasian,Greater than 45,M,0
4,Male,Caucasian,Less than 25,F,1
6,Male,Caucasian,25 - 45,F,0
2,Female,Caucasian,25 - 45,F,0
1,Male,Caucasian,25 - 45,M,0
2,Male,Caucasian,25 - 45,F,0
2,Female,Other,25 - 45,M,0
0,Male,Caucasian,25 - 45,M,1
0,Female,African-American,Less than 25,M,0
10,Female,Caucasian,25 - 45,F,1
2,Male,Caucasian,25 - 45,M,1
4,Female,Hispanic,25 - 45,F,1
3,Male,African-American,25 - 45,F,1
2,Male,Caucasian,25 - 45,M,1
1,Male,African-American,25 - 45,M,0
1,Male,Caucasian,Greater than 45,F,1
4,Female,Caucasian,Greater than 45,F,0
1,Female,African-American,Less than 25,F,0
0,Female,Caucasian,25 - 45,M,0
9,Male,African-American,25 - 45,F,1
11,Male,African-American,25 - 45,F,1
8,Male,African-American,25 - 45,M,1
0,Female,African-American,25 - 45,F,1
7,Female,African-American,25 - 45,F,1
2,Male,African-American,25 - 45,F,1
0,Female,African-American,Less than 25,F,0
0,Female,Caucasian,25 - 45,M,0
1,Female,African-American,Greater than 45,F,1
13,Male,Other,Greater than 45,F,1
1,Male,Hispanic,Greater than 45,F,0
4,Female,African-American,25 - 45,F,1
1,Male,Hispanic,25 - 45,F,0
1,Female,Other,Greater than 45,F,0
2,Female,African-American,25 - 45,M,1
3,Male,African-American,Greater than 45,M,0
1,Male,Caucasian,25 - 45,M,0
3,Female,Caucasian,25 - 45,F,1
1,Male,African-American,25 - 45,F,0
2,Male,Caucasian,Greater than 45,M,0
1,Male,African-American,Less than 25,F,0
6,Male,Caucasian,Greater than 45,F,1
6,Female,Caucasian,Greater than 45,F,0
0,Male,Caucasian,25 - 45,F,0
1,Male,African-American,25 - 45,M,1
0,Male,Hispanic,Less than 25,F,0
5,Female,African-American,25 - 45,F,0
2,Male,Hispanic,Greater than 45,M,0
8,Male,African-American,Greater than 45,F,0
6,Female,Caucasian,25 - 45,F,0
1,Male,Caucasian,Greater than 45,F,0
8,Male,Hispanic,25 - 45,F,1
6,Male,African-American,25 - 45,M,1
2,Male,Hispanic,Greater than 45,F,0
0,Male,Hispanic,Greater than 45,F,0
1,Male,Caucasian,Greater than 45,M,1
0,Male,Caucasian,Greater than 45,F,0
0,Male,Other,Less than 25,F,0
22,Male,African-American,25 - 45,F,1
1,Male,African-American,Less than 25,F,1
23,Male,African-American,Greater than 45,M,1
0,Male,African-American,Less than 25,M,1
1,Male,Hispanic,Greater than 45,F,0
2,Female,Caucasian,25 - 45,F,1
3,Male,African-American,Greater than 45,F,0
8,Male,Caucasian,Greater than 45,M,1
0,Female,Other,Greater than 45,M,1
13,Male,African-American,25 - 45,F,1
2,Male,African-American,25 - 45,M,1
0,Male,Caucasian,25 - 45,F,1
9,Male,African-American,25 - 45,F,1
2,Male,Caucasian,Greater than 45,F,0
0,Male,African-American,Less than 25,F,1
2,Male,African-American,25 - 45,M,0
1,Female,African-American,Less than 25,M,0
2,Male,Other,25 - 45,M,1
1,Male,Caucasian,Greater than 45,F,0
0,Female,Caucasian,25 - 45,M,0
4,Male,Caucasian,25 - 45,M,0
23,Female,African-American,25 - 45,F,1
5,Male,Other,Less than 25,F,1
2,Male,African-American,25 - 45,F,1
0,Male,African-American,25 - 45,M,0
0,Female,African-American,25 - 45,F,0
11,Male,Caucasian,25 - 45,F,1
7,Female,Caucasian,25 - 45,F,1
2,Male,African-American,25 - 45,F,0
2,Male,Caucasian,25 - 45,M,0
1,Female,African-American,25 - 45,F,0
7,Male,Caucasian,Greater than 45,F,1
15,Male,African-American,25 - 45,F,0
2,Male,African-American,25 - 45,M,0
3,Male,African-American,Greater than 45,F,0
0,Male,Hispanic,25 - 45,M,0
1,Male,Caucasian,Greater than 45,F,0
0,Female,Caucasian,Greater than 45,M,1
0,Male,Caucasian,Greater than 45,M,0
1,Male,Other,25 - 45,M,1
0,Male,African-American,Greater than 45,F,0
4,Male,Caucasian,25 - 45,F,1
2,Female,African-American,25 - 45,F,0
5,Female,African-American,25 - 45,M,0
11,Male,African-American,25 - 45,F,1
0,Male,African-American,25 - 45,M,0
4,Male,Other,25 - 45,F,1
11,Male,African-American,Greater than 45,F,0
2,Male,African-American,Less than 25,F,0
2,Female,African-American,25 - 45,F,1
0,Male,African-American,25 - 45,M,0
0,Male,Caucasian,Greater than 45,F,0
13,Male,Caucasian,25 - 45,F,1
0,Male,African-American,Greater than 45,F,0
1,Male,Caucasian,25 - 45,F,0
11,Male,African-American,25 - 45,M,1
1,Male,Caucasian,25 - 45,F,0
0,Male,African-American,Less than 25,F,0
4,Male,African-American,25 - 45,F,0
4,Male,Hispanic,25 - 45,F,0
0,Male,Caucasian,25 - 45,F,1
0,Male,Caucasian,25 - 45,F,1
14,Male,African-American,25 - 45,F,0
4,Male,African-American,25 - 45,M,0
1,Male,Caucasian,Greater than 45,M,0
25,Male,African-American,25 - 45,F,1
8,Male,Caucasian,25 - 45,M,1
0,Male,African-American,25 - 45,F,0
1,Male,Caucasian,Less than 25,M,1
0,Female,Other,25 - 45,M,0
3,Female,Other,25 - 45,F,0
8,Male,Caucasian,25 - 45,F,1
4,Male,Caucasian,25 - 45,F,0
3,Male,African-American,Less than 25,M,1
1,Female,Caucasian,Less than 25,M,1
3,Male,African-American,25 - 45,M,1
0,Female,Hispanic,25 - 45,M,0
1,Male,Hispanic,Less than 25,F,1
5,Female,Caucasian,Less than 25,F,1
0,Male,Hispanic,Less than 25,M,0
1,Male,African-American,25 - 45,M,0
1,Male,African-American,Less than 25,F,1
2,Male,African-American,25 - 45,F,1
0,Male,Other,25 - 45,F,0
4,Male,African-American,25 - 45,F,0
2,Male,Caucasian,25 - 45,M,0
2,Female,African-American,25 - 45,F,0
0,Male,African-American,Less than 25,F,0
0,Male,Hispanic,Less than 25,F,0
0,Female,African-American,Greater than 45,F,0
0,Female,African-American,Less than 25,F,1
0,Female,African-American,Greater than 45,F,0
8,Male,African-American,Greater than 45,F,1
0,Male,Caucasian,25 - 45,F,0
0,Male,Caucasian,25 - 45,F,1
11,Male,African-American,25 - 45,F,1
3,Male,African-American,Less than 25,M,1
1,Female,Caucasian,Less than 25,F,0
2,Male,African-American,25 - 45,F,0
2,Male,Caucasian,25 - 45,F,0
2,Female,African-American,25 - 45,M,0
0,Female,Other,25 - 45,F,0
24,Male,African-American,25 - 45,M,0
3,Male,African-American,Greater than 45,F,1
0,Male,African-American,25 - 45,F,0
3,Male,Caucasian,25 - 45,F,0
3,Male,African-American,25 - 45,M,1
1,Male,Caucasian,Greater than 45,M,0
6,Male,Caucasian,Greater than 45,F,1
3,Male,Caucasian,Greater than 45,F,0
0,Male,African-American,Less than 25,M,1
1,Male,African-American,25 - 45,M,1
3,Male,Hispanic,25 - 45,F,1
5,Male,Caucasian,25 - 45,M,0
1,Male,African-American,Less than 25,F,1
5,Male,African-American,25 - 45,M,0
0,Male,Caucasian,Less than 25,F,1
5,Male,African-American,25 - 45,F,1
2,Male,African-American,25 - 45,F,0
6,Male,African-American,25 - 45,F,1
0,Male,Other,Less than 25,F,0
1,Male,Caucasian,25 - 45,M,1
2,Male,Caucasian,Greater than 45,F,0
0,Female,African-American,Less than 25,M,0
1,Male,African-American,Less than 25,F,0
4,Male,African-American,Less than 25,M,1
0,Male,Caucasian,Greater than 45,F,0
4,Male,African-American,25 - 45,M,1
5,Male,Caucasian,25 - 45,F,0
2,Male,Other,25 - 45,F,1
5,Female,African-American,25 - 45,F,0
0,Male,Hispanic,Less than 25,F,0
0,Male,African-American,25 - 45,M,0
0,Male,Caucasian,25 - 45,M,1
3,Male,Caucasian,25 - 45,M,1
0,Female,Caucasian,25 - 45,F,0
9,Male,Other,Less than 25,F,1
0,Male,African-American,25 - 45,F,0
0,Male,African-American,Less than 25,F,1
0,Female,Caucasian,Greater than 45,M,0
0,Male,Caucasian,Greater than 45,M,0
7,Male,African-American,25 - 45,F,0
0,Male,African-American,Less than 25,F,1
6,Male,Caucasian,Greater than 45,F,0
8,Male,Caucasian,25 - 45,F,0
2,Male,African-American,Less than 25,F,1
36,Male,Caucasian,Greater than 45,F,1
2,Male,Caucasian,25 - 45,M,1
1,Male,African-American,Greater than 45,F,0
3,Male,Hispanic,Less than 25,F,0
0,Female,African-American,25 - 45,F,0
2,Female,Caucasian,25 - 45,M,1
1,Female,Hispanic,Less than 25,M,0
1,Male,Caucasian,25 - 45,F,0
0,Female,African-American,Less than 25,F,1
0,Male,Caucasian,25 - 45,M,0
0,Male,African-American,Less than 25,F,0
3,Male,African-American,25 - 45,F,1
1,Male,Other,25 - 45,F,1
0,Male,African-American,25 - 45,F,0
0,Female,Caucasian,25 - 45,M,0
1,Male,Hispanic,Greater than 45,M,0
3,Male,Other,25 - 45,F,0
2,Female,African-American,25 - 45,F,0
12,Male,African-American,25 - 45,F,1
1,Male,African-American,Less than 25,F,0
3,Male,African-American,Greater than 45,F,0
1,Female,Hispanic,25 - 45,F,1
0,Male,Caucasian,25 - 45,F,0
2,Male,African-American,Less than 25,F,1
0,Male,Hispanic,25 - 45,M,0
0,Male,Other,25 - 45,M,0
0,Female,Caucasian,Less than 25,F,0
0,Male,Caucasian,Greater than 45,M,0
2,Male,Caucasian,Less than 25,F,0
6,Male,African-American,25 - 45,M,1
0,Male,Caucasian,Less than 25,F,0
0,Female,African-American,Less than 25,F,1
3,Male,African-American,Greater than 45,F,0
2,Male,African-American,25 - 45,M,0
0,Female,Caucasian,Greater than 45,M,0
0,Female,African-American,25 - 45,M,0
3,Male,African-American,Less than 25,F,1
2,Male,Hispanic,25 - 45,M,1
1,Female,Other,Less than 25,F,0
1,Male,Hispanic,25 - 45,F,0
0,Male,Caucasian,25 - 45,F,0
1,Male,African-American,Less than 25,F,0
2,Male,Caucasian,Less than 25,M,1
18,Male,African-American,Greater than 45,F,0
4,Male,African-American,Less than 25,F,1
0,Male,African-American,Less than 25,F,1
1,Male,Caucasian,25 - 45,M,0
1,Female,Caucasian,Greater than 45,M,1
0,Male,Caucasian,25 - 45,F,1
7,Male,African-American,25 - 45,F,1
1,Female,Caucasian,Greater than 45,M,0
0,Female,African-American,Less than 25,F,0
1,Male,African-American,25 - 45,F,0
1,Male,African-American,25 - 45,M,0
1,Male,Caucasian,Less than 25,M,0
6,Male,African-American,25 - 45,F,1
4,Male,African-American,Less than 25,F,1
3,Male,Caucasian,Less than 25,M,0
23,Male,African-American,25 - 45,F,1
2,Male,African-American,25 - 45,F,0
2,Male,African-American,Greater than 45,F,0
1,Male,African-American,Greater than 45,F,0
7,Male,African-American,25 - 45,F,0
23,Male,Caucasian,Greater than 45,F,1
0,Female,Caucasian,Greater than 45,M,0
12,Male,African-American,25 - 45,F,1
5,Male,African-American,25 - 45,F,0
3,Male,Caucasian,25 - 45,M,0
0,Female,Hispanic,25 - 45,F,0
5,Male,Caucasian,Greater than 45,F,1
14,Male,African-American,25 - 45,F,1
2,Male,African-American,25 - 45,F,0
0,Male,African-American,Less than 25,M,1
6,Male,African-American,25 - 45,F,0
0,Male,Caucasian,25 - 45,F,0
2,Male,Caucasian,Greater than 45,F,0
5,Male,African-American,Greater than 45,F,0
9,Male,African-American,25 - 45,F,1
4,Male,Caucasian,Greater than 45,F,1
3,Male,African-American,25 - 45,F,0
4,Male,Other,Greater than 45,F,0
1,Male,Hispanic,Less than 25,M,0
0,Female,Caucasian,25 - 45,M,0
0,Male,Caucasian,Greater than 45,M,0
0,Female,African-American,Less than 25,F,0
1,Female,African-American,25 - 45,F,1
11,Male,African-American,Greater than 45,F,0
0,Male,Caucasian,25 - 45,M,1
0,Male,Hispanic,Less than 25,M,0
0,Male,Caucasian,Less than 25,F,0
2,Female,Caucasian,Greater than 45,M,0
7,Male,African-American,25 - 45,M,1
1,Male,Caucasian,Less than 25,F,1
8,Male,African-American,25 - 45,F,1
1,Male,Other,25 - 45,F,0
0,Male,African-American,Less than 25,F,1
0,Male,Caucasian,25 - 45,M,1
8,Male,African-American,25 - 45,F,0
21,Male,African-American,Greater than 45,M,1
3,Male,African-American,Less than 25,F,0
1,Male,Hispanic,Greater than 45,M,1
0,Male,Caucasian,25 - 45,F,0
1,Male,African-American,Greater than 45,F,1
3,Male,Caucasian,25 - 45,M,0
3,Male,African-American,25 - 45,F,0
3,Male,Caucasian,Less than 25,F,1
0,Male,Caucasian,25 - 45,F,0
2,Male,African-American,25 - 45,F,0
3,Female,African-American,Less than 25,F,1
1,Male,Caucasian,Less than 25,F,1
2,Male,Caucasian,25 - 45,M,0
0,Female,Caucasian,Less than 25,F,0
0,Male,Caucasian,25 - 45,M,0
2,Male,Hispanic,25 - 45,F,1
1,Male,African-American,Less than 25,F,1
2,Male,Hispanic,25 - 45,M,1
1,Male,African-American,Less than 25,M,1
4,Male,Caucasian,Greater than 45,F,0
3,Female,African-American,Greater than 45,F,0
1,Male,African-American,25 - 45,M,0
5,Male,African-American,25 - 45,F,0
0,Male,Caucasian,Less than 25,M,0
16,Male,African-American,Greater than 45,F,0
2,Female,African-American,Greater than 45,F,1
0,Male,Caucasian,25 - 45,M,1
0,Male,Other,Less than 25,F,1
13,Male,African-American,25 - 45,M,1
16,Female,African-American,Greater than 45,F,0
1,Male,African-American,25 - 45,M,1
3,Male,African-American,25 - 45,F,1
6,Male,Caucasian,Greater than 45,F,1
1,Male,Caucasian,25 - 45,F,1
4,Female,Native American,25 - 45,F,1
5,Male,African-American,Greater than 45,F,1
10,Male,African-American,25 - 45,F,1
5,Male,African-American,25 - 45,F,0
2,Male,Caucasian,Greater than 45,F,0
0,Male,African-American,25 - 45,F,0
6,Male,African-American,Less than 25,F,0
28,Male,African-American,Greater than 45,F,1
8,Male,African-American,25 - 45,F,1
6,Female,African-American,Less than 25,F,1
2,Male,African-American,Greater than 45,M,0
12,Male,African-American,Greater than 45,M,1
1,Male,Caucasian,Less than 25,M,1
1,Male,African-American,25 - 45,M,0
1,Male,African-American,Less than 25,F,1
0,Male,Caucasian,Greater than 45,F,0
0,Male,Hispanic,Less than 25,F,0
3,Male,Caucasian,25 - 45,F,0
3,Male,Caucasian,Greater than 45,F,0
4,Male,Caucasian,25 - 45,F,1
0,Male,Caucasian,Greater than 45,F,0
4,Male,Hispanic,25 - 45,F,1
1,Male,Caucasian,Greater than 45,F,1
0,Male,Asian,25 - 45,F,0
1,Male,Hispanic,Greater than 45,F,0
2,Male,Hispanic,25 - 45,M,0
6,Female,Caucasian,Less than 25,F,1
2,Male,Caucasian,Less than 25,M,1
2,Male,African-American,25 - 45,M,0
5,Male,Asian,Greater than 45,F,1
1,Male,African-American,25 - 45,F,0
0,Female,Caucasian,25 - 45,M,0
6,Male,Caucasian,25 - 45,F,1
0,Male,Caucasian,25 - 45,M,1
0,Male,African-American,Greater than 45,M,0
4,Male,African-American,25 - 45,F,1
0,Female,Caucasian,Greater than 45,M,0
0,Male,African-American,25 - 45,F,0
2,Female,Hispanic,Less than 25,F,1
4,Male,African-American,25 - 45,F,1
1,Male,Caucasian,25 - 45,M,1
7,Male,Hispanic,25 - 45,F,1
20,Male,Hispanic,Greater than 45,F,0
33,Male,African-American,Greater than 45,F,1
2,Male,Caucasian,25 - 45,F,0
1,Male,Caucasian,Greater than 45,M,0
1,Male,Caucasian,25 - 45,F,0
1,Male,African-American,25 - 45,F,0
4,Male,Caucasian,Greater than 45,M,0
12,Female,African-American,25 - 45,M,0
12,Male,Other,Greater than 45,F,0
0,Female,African-American,25 - 45,M,0
0,Female,Caucasian,Greater than 45,M,0
7,Male,Hispanic,25 - 45,M,0
2,Male,Other,25 - 45,M,0
2,Male,African-American,25 - 45,M,0
6,Female,African-American,25 - 45,F,0
0,Male,Other,25 - 45,M,0
10,Male,African-American,Greater than 45,F,1
5,Male,African-American,25 - 45,F,1
0,Male,Caucasian,Less than 25,F,0
1,Male,Caucasian,Greater than 45,F,1
0,Male,African-American,Greater than 45,M,1
4,Male,African-American,Greater than 45,M,0
0,Male,African-American,Less than 25,F,1
4,Male,Caucasian,25 - 45,F,1
0,Male,Caucasian,Less than 25,F,0
0,Male,Caucasian,Less than 25,M,0
6,Male,Caucasian,25 - 45,F,0
1,Male,African-American,25 - 45,M,1
0,Male,African-American,25 - 45,F,0
6,Male,African-American,25 - 45,F,1
1,Male,Caucasian,25 - 45,F,1
0,Male,Caucasian,Less than 25,F,1
1,Male,Other,25 - 45,F,0
0,Male,Caucasian,25 - 45,F,0
20,Male,Hispanic,25 - 45,F,0
0,Male,African-American,25 - 45,F,0
14,Male,African-American,25 - 45,F,1
9,Male,Caucasian,Less than 25,M,1
6,Male,Caucasian,Less than 25,F,1
0,Male,Hispanic,Less than 25,F,1
1,Male,Caucasian,Greater than 45,M,0
5,Male,African-American,25 - 45,F,1
2,Male,Hispanic,25 - 45,M,1
2,Male,Caucasian,Greater than 45,F,1
1,Male,African-American,25 - 45,M,0
0,Male,African-American,25 - 45,F,0
2,Male,Caucasian,Less than 25,F,0
1,Female,Hispanic,Greater than 45,F,0
8,Male,African-American,25 - 45,F,0
6,Male,African-American,Greater than 45,F,0
3,Male,African-American,25 - 45,F,0
0,Female,Other,Greater than 45,F,0
3,Male,African-American,25 - 45,F,1
3,Male,African-American,Less than 25,F,1
1,Male,Caucasian,Greater than 45,M,0
3,Male,African-American,Less than 25,F,1
3,Male,African-American,Greater than 45,M,0
0,Male,African-American,25 - 45,F,0
1,Male,Caucasian,25 - 45,F,0
16,Male,African-American,25 - 45,F,1
0,Female,African-American,25 - 45,M,0
1,Male,African-American,Less than 25,F,0
2,Male,Caucasian,25 - 45,F,1
5,Male,Caucasian,25 - 45,F,0
8,Male,Hispanic,Less than 25,F,0
5,Male,African-American,25 - 45,M,1
11,Male,Caucasian,25 - 45,M,0
6,Female,African-American,25 - 45,F,1
0,Male,Caucasian,25 - 45,M,0
15,Male,African-American,25 - 45,F,0
4,Male,Hispanic,25 - 45,F,0
0,Female,African-American,25 - 45,M,0
1,Male,Caucasian,Less than 25,F,0
1,Male,Hispanic,Greater than 45,F,0
2,Female,Caucasian,Greater than 45,M,1
5,Male,Caucasian,Greater than 45,F,1
8,Male,Caucasian,25 - 45,F,1
0,Male,Caucasian,Greater than 45,M,1
0,Female,Caucasian,Greater than 45,M,0
5,Male,African-American,25 - 45,F,1
0,Female,Caucasian,Less than 25,M,0
1,Male,Caucasian,Less than 25,M,0
0,Male,Other,25 - 45,M,1
10,Male,African-American,Less than 25,F,1
0,Male,Hispanic,25 - 45,M,0
1,Male,Other,25 - 45,F,0
4,Male,African-American,Less than 25,F,1
4,Male,African-American,25 - 45,F,0
0,Male,African-American,25 - 45,M,0
0,Female,Caucasian,Less than 25,F,0
0,Male,African-American,25 - 45,M,0
0,Male,Hispanic,Less than 25,M,1
1,Male,Hispanic,25 - 45,F,0
0,Female,Caucasian,Less than 25,F,0
1,Male,African-American,Less than 25,F,0
3,Male,African-American,25 - 45,M,1
3,Male,African-American,25 - 45,M,1
17,Male,African-American,Greater than 45,F,1
0,Male,African-American,25 - 45,F,0
11,Male,African-American,Less than 25,F,1
1,Female,African-American,25 - 45,F,0
1,Male,Hispanic,25 - 45,M,1
1,Male,African-American,25 - 45,M,0
6,Male,Caucasian,25 - 45,F,1
1,Male,African-American,25 - 45,M,0
0,Female,Caucasian,Greater than 45,M,0
2,Male,Caucasian,25 - 45,M,0
5,Male,African-American,25 - 45,M,1
0,Male,Caucasian,25 - 45,F,0
0,Male,African-American,Less than 25,F,1
1,Male,Hispanic,25 - 45,M,0
4,Male,African-American,25 - 45,F,1
0,Male,Caucasian,Greater than 45,M,0
6,Male,Hispanic,25 - 45,F,1
2,Male,Caucasian,25 - 45,M,1
10,Male,African-American,25 - 45,F,0
6,Male,African-American,25 - 45,M,0
9,Male,African-American,Greater than 45,M,1
3,Female,Caucasian,Less than 25,F,0
0,Female,African-American,Less than 25,M,0
2,Female,Caucasian,Less than 25,F,1
1,Male,African-American,25 - 45,M,0
0,Male,African-American,25 - 45,M,0
15,Male,African-American,Greater than 45,F,1
4,Male,African-American,Less than 25,F,1
0,Male,Hispanic,25 - 45,M,0
4,Male,African-American,Less than 25,F,1
3,Male,Caucasian,25 - 45,F,1
5,Male,Caucasian,25 - 45,M,0
1,Male,Caucasian,25 - 45,F,0
3,Male,Caucasian,Less than 25,F,1
0,Male,African-American,25 - 45,F,0
18,Male,African-American,25 - 45,F,1
0,Female,Caucasian,25 - 45,F,1
0,Male,Other,Less than 25,F,0
4,Female,African-American,Greater than 45,F,1
0,Female,Caucasian,Greater than 45,M,1
0,Male,African-American,Less than 25,F,0
0,Female,African-American,Less than 25,F,0
0,Male,African-American,25 - 45,F,0
1,Male,Caucasian,Less than 25,F,1
2,Male,Caucasian,Less than 25,F,1
3,Male,Caucasian,25 - 45,F,1
8,Male,African-American,25 - 45,F,1
10,Female,African-American,25 - 45,F,0
1,Female,Caucasian,Greater than 45,F,0
4,Male,African-American,Less than 25,F,0
2,Male,Caucasian,25 - 45,F,1
0,Male,African-American,25 - 45,F,1
1,Male,African-American,Less than 25,F,1
9,Female,African-American,25 - 45,F,1
13,Male,African-American,25 - 45,F,1
1,Male,Caucasian,25 - 45,F,1
23,Male,African-American,25 - 45,F,1
20,Male,African-American,Greater than 45,F,0
3,Male,African-American,Less than 25,F,0
1,Male,African-American,25 - 45,M,1
2,Male,Hispanic,Less than 25,M,1
2,Male,African-American,Greater than 45,M,1
0,Male,African-American,25 - 45,M,0
0,Female,African-American,25 - 45,F,0
1,Male,Caucasian,Greater than 45,M,0
0,Male,Hispanic,Greater than 45,F,0
0,Male,African-American,Less than 25,F,0
11,Male,African-American,25 - 45,F,0
4,Male,Other,25 - 45,M,1
5,Male,Caucasian,25 - 45,F,0
2,Male,African-American,25 - 45,M,0
0,Male,Other,Greater than 45,F,0
0,Female,African-American,25 - 45,M,0
2,Female,Caucasian,Greater than 45,F,0
0,Male,African-American,25 - 45,M,0
0,Male,African-American,25 - 45,M,1
17,Male,African-American,Greater than 45,F,1
3,Male,African-American,Less than 25,F,0
0,Female,Caucasian,25 - 45,M,0
15,Female,Caucasian,25 - 45,F,1
7,Male,Hispanic,25 - 45,F,1
2,Male,African-American,Less than 25,M,1
3,Male,African-American,25 - 45,F,0
0,Male,Asian,Less than 25,F,1
3,Male,Caucasian,Greater than 45,F,1
15,Male,African-American,25 - 45,F,1
2,Female,African-American,25 - 45,F,0
5,Male,African-American,25 - 45,F,0
4,Male,African-American,25 - 45,M,0
1,Male,African-American,25 - 45,M,0
14,Male,African-American,25 - 45,F,1
2,Male,Caucasian,Greater than 45,F,0
3,Male,African-American,25 - 45,M,1
2,Male,African-American,Less than 25,F,0
4,Male,African-American,25 - 45,F,1
2,Male,Caucasian,Greater than 45,F,1
